3.14;1.5
3.13481;1.43454
3.09928;1.23687
2.9716;0.901665
2.65306;0.433538
2.06764;-0.0782772
1.26854;-0.369827
0.220873;-0.0866626
-0.972982;0.411164
-1.8222;0.230371
-2.47491;-0.269779
-2.83992;-0.776005
-2.96767;-1.15511
-2.96348;-1.39617
-2.89791;-1.50919
-2.7964;-1.5006
-2.6454;-1.3807
-2.39837;-1.17722
-1.98634;-0.960613
-1.30948;-0.891857
-0.344535;-1.00114
0.40291;-0.650201
0.676854;0.130795
0.461688;1.15942
0.590912;1.91246
0.946802;2.44113
1.30321;2.79282
1.54408;3.04227
1.63105;3.26402
1.55979;3.49104
1.32235;3.70555
0.864116;3.83205
0.231926;3.91106
-0.329442;4.23401
-0.995559;4.91167
-1.69986;5.80782
-1.77082;6.52291
-1.2567;7.29616
-0.391343;7.81503
0.496431;7.73253
1.55476;7.07212
2.21258;6.69255
2.64071;6.42591
2.91102;6.11616
3.12316;5.79506
3.41038;5.55633
3.80225;5.37397
4.35374;5.14585
5.23326;4.70957
6.08213;4.62058
6.83609;5.08262
7.19303;5.88154
6.78639;6.95199
6.40519;7.93241
6.5351;8.70209
6.94553;9.43065
7.43966;10.1117
7.90481;10.7839
8.29407;11.497
8.4502;12.168
8.2157;12.6926
7.57125;13.2954
6.54142;14.093
5.73401;14.2837
4.82045;13.9391
3.96469;13.33
3.24594;12.6906
2.54081;12.0507
1.717;11.434
0.80332;11.0399
-0.0325253;11.1693
-1.10759;11.9517
-1.83771;12.5453
-2.19374;12.9837
-2.25586;13.5024
-2.18189;14.0073
-2.08559;14.4002
-1.92812;14.7035
-1.65;14.9713
-1.2004;15.293
-0.5634;15.7928
0.133272;16.5295
0.548459;17.3761
0.385998;18.2536
-0.404984;19.4511
-0.554262;20.3266
-0.127241;21.1729
0.573484;21.9005
1.2057;22.3829
1.64567;22.6848
1.90983;22.9327
2.04492;23.2141
2.10348;23.5788
2.11885;24.0467
1.98634;24.5326
1.56483;24.9793
0.700379;25.6996
-0.325953;26.439
-1.12356;26.5556
-1.95932;26.2779
